"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"290","Jon Rhattigan (SEA)","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"291","Dorian Etheridge (ATL)","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"292","Myjai Sanders (ARI)","17","6","3","3","0","1","1","0","13","0.0","0.0","2.6%"
"293","Zayne Anderson (BUF)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"294","Curtis Robinson (SF)","0","0","0","0","0","0","0","0","0","0","0","3.2%"
"295","Brendon White (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"296","Chandler Wooten (CAR)","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"297","Tyreke Smith (SEA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"298","Nik Bonitto (FA)","5","8","1.5","0","0","1","0","0","12","0.0","0.0","0.8%"
"299","Byron Young (LV)","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"300","Christopher Allen (DEN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"301","D'Marco Jackson (NO)","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"302","Darrian Beavers (NYG)","0","0","0","0","0","0","0","0","1","0.0","0.0","3.2%"
"303","DeAngelo Malone (ATL)","16","8","1","0","0","0","0","0","13","0.0","0.0","0.3%"
"304","Bumper Pool (CAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"305","Josh Ross (BAL)","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"306","Cameron Thomas (FA)","7","11","3","1","0","0","0","0","13","0.0","0.0","1.6%"
"307","Boye Mafe (SEA)","27","11","3","0","0","0","0","0","16","0.0","0.0","2.0%"
"308","David Ojabo (BAL)","1","0","1","0","0","1","0","0","1","0.0","0.0","3.8%"
"309","Arnold Ebiketie (ATL)","21","9","2.5","2","0","2","0","0","14","0.0","0.0","3.0%"
"310","Travon Walker (JAC)","24","25","3.5","2","1","1","0","0","15","0.0","0.0","16.0%"
"311","Devin Harper (DAL)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"312","Zach McCloud (TEN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"313","Kyle Soelle (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"314","Kelechi Anyalebechi (LAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"315","Ryan Smenda Jr. (LAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"316","Jaiden Woodbey (LAR)","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"317","Jack Colletto (SF)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"318","DJ Coleman (JAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"319","Keshawn Banks (GB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"320","Jimmy Phillips Jr. (GB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"321","Cam Bright (SEA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"322","Patrick O'Connell (SEA)","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"323","Jaylen Moody (CIN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"324","Dequan Jackson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"325","Zaire Barnes (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"326","Aubrey Miller (MIA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"327","Abraham Beauplan (MIN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"328","Wilson Huber (MIN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"329","Marte Mapu (NE)","0","0","0","0","0","0","0","0","0","0","0","5.1%"
"330","Nick Anderson (NO)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"331","Anfernee Orji (NO)","0","0","0","0","0","0","0","0","0","0","0","8.0%"
"332","Monte Pottebaum (PIT)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"333","Thomas Rush (TEN)","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"334","David Perales (PIT)","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"335","Andrew Farmer (LAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"336","Nathan East (LAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"337","Brevin Allen (LAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"338","Mikel Jones (LAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"339","Jalen Graham (SF)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"340","Dee Winters (SF)","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"341","Kenneth Odumegwu (GB)","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"342","Shaka Heyward (CIN)","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"343","Titus Leo (IND)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"344","Thomas Incoom (DEN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"345","Jourdan Heilig (NE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"346","Brandon Bouyer-Randle (TB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"347","Jeremy Banks (TB)","0","0","0","0","0","0","0","0","0","0","0","6.0%"
"348","Seth Benson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"349","Marcus Haynes (DEN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"350","Otis Reese IV (TEN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"351","Malik Hamm (BAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"352","Drake Thomas (LV)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"353","Ace Eley (CAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"354","Willie Taylor III (JAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"355","Tyler Murray (CIN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"356","Isaiah Land (DAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"357","Kelle Sanders (BAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"358","Zeke Vandenburgh (MIA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"359","Jonathan Sutherland (SEA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"360","Dyontae Johnson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"361","Micah Baskerville (CHI)","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"362","Charlie Thomas III (CLE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"363","Ben VanSumeren (PHI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"364","Liam Anderson (IND)","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"365","Donavan Mutin (IND)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"366","Troy Brown (NYG)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"367","Claudin Cherelus (NYJ)","0","0","0","0","0","0","0","0","0","0","0","4.0%"
"368","Garrett Nelson (MIA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
